repo_id,ecosystem,family,language_signal,language_evidence,downloads,revision,license,addable,in_catalog,note
FluidInference/paraformer-large-zh-coreml,fluidaudio,paraformer,zh,model card (probed),,5dd557bd0634,other,yes — sha pinned,no,ALREADY CATALOGUED as fluid-paraformer|paraformer|large-zh|default with NO hf_repo — this fills that gap
FluidInference/parakeet-ctc-0.6b-zh-cn-coreml,fluidaudio,parakeet,"zh,en",model card (probed),,ad0da3a453ce,cc-by-4.0,yes — sha pinned,no,dedicated Chinese parakeet; bestASR has no zh parakeet
FluidInference/parakeet-0.6b-ja-coreml,fluidaudio,parakeet,ja,model card (probed),,2952296ff1da,cc-by-4.0,yes — sha pinned,no,dedicated Japanese parakeet; bestASR has no ja parakeet
FluidInference/parakeet-unified-en-0.6b-coreml,fluidaudio,parakeet,en,model card (probed),,4252711f6f06,cc-by-4.0,yes — sha pinned,no,relates to parked issue #123 (idd/123-parakeet-unified)
FluidInference/canary-1b-v2-coreml,fluidaudio,canary,unknown,unverified,,,,no — needs revision probe,no,CoreML canary; bestASR carries the MLX build only
FluidInference/Nemotron-3.5-ASR-Streaming-Multilingual-0.6b-CoreML,fluidaudio,nemotron-asr,multi,from repo id,,,,no — needs revision probe,no,CoreML nemotron; bestASR carries the MLX build only
FluidInference/nemotron-speech-streaming-en-0.6b-coreml,fluidaudio,nemotron-speech,en,from repo id,,,,no — needs revision probe,no,English streaming variant
FluidInference/parakeet-ctc-110m-coreml,fluidaudio,parakeet,unknown,unverified,,,,no — needs revision probe,no,"small parakeet, CTC head"
FluidInference/cohere-transcribe-03-2026-coreml,fluidaudio,cohere-transcribe,unknown,unverified,,,,no — needs revision probe,no,new family; MLX sibling also exists (see below)
mlx-community/parakeet-tdt-0.6b-v2,mlx-audio,parakeet,unknown,card declares none — NOT to be read as English,1.87M,8ae155301e23,cc-by-4.0,yes — sha pinned,no,HIGHER downloads than the v3 bestASR carries; predecessor version
